,kappa,lambd,alpha,omega,gamma,runs
0,0,0,1,0,-1,25
1,0,0,1,0,0,38
2,0,0,1,0,1,55
3,0,0,0.6,0,-1,26
4,0,0,0.6,0,0,28
5,0,0,0.6,0,1,54
6,0,0,0.2,0,-1,17
7,0,0,0.2,0,0,18
8,0,0,0.2,0,1,28
9,0,0.3,1,0,-1,22
10,0,0.3,1,0,0,27
11,0,0.3,1,0,1,35
12,0,0.3,0.6,0,-1,27
13,0,0.3,0.6,0,0,25
14,0,0.3,0.6,0,1,23
15,0,0.3,0.2,0,-1,15
16,0,0.3,0.2,0,0,19
17,0,0.3,0.2,0,1,24
18,0,1,1,0,-1,18
19,0,1,1,0,0,22
20,0,1,1,0,1,25
21,0,1,0.6,0,-1,25
22,0,1,0.6,0,0,19
23,0,1,0.6,0,1,25
24,0,1,0.2,0,-1,21
25,0,1,0.2,0,0,14
26,0,1,0.2,0,1,13
27,15,0,1,0,-1,44
28,15,0,1,0,0,57
29,15,0,1,0,1,51
30,15,0,0.6,0,-1,61
31,15,0,0.6,0,0,77
32,15,0,0.6,0,1,207
33,15,0,0.2,0,-1,56
34,15,0,0.2,0,0,30
35,15,0,0.2,0,1,77
36,15,0.3,1,0,-1,91
37,15,0.3,1,0,0,77
38,15,0.3,1,0,1,104
39,15,0.3,0.6,0,-1,143
40,15,0.3,0.6,0,0,227
41,15,0.3,0.6,0,1,227
42,15,0.3,0.2,0,-1,50
43,15,0.3,0.2,0,0,30
44,15,0.3,0.2,0,1,47
45,15,1,1,0,-1,91
46,15,1,1,0,0,143
47,15,1,1,0,1,300
48,15,1,0.6,0,-1,74
49,15,1,0.6,0,0,77
50,15,1,0.6,0,1,300
51,15,1,0.2,0,-1,25
52,15,1,0.2,0,0,43
53,15,1,0.2,0,1,77
54,30,0,1,0,-1,49
55,30,0,1,0,0,66
56,30,0,1,0,1,77
57,30,0,0.6,0,-1,74
58,30,0,0.6,0,0,112
59,30,0,0.6,0,1,77
60,30,0,0.2,0,-1,22
61,30,0,0.2,0,0,156
62,30,0,0.2,0,1,111
63,30,0.3,1,0,-1,72
64,30,0.3,1,0,0,52
65,30,0.3,1,0,1,103
66,30,0.3,0.6,0,-1,57
67,30,0.3,0.6,0,0,57
68,30,0.3,0.6,0,1,92
69,30,0.3,0.2,0,-1,77
70,30,0.3,0.2,0,0,77
71,30,0.3,0.2,0,1,146
72,30,1,1,0,-1,63
73,30,1,1,0,0,117
74,30,1,1,0,1,227
75,30,1,0.6,0,-1,39
76,30,1,0.6,0,0,105
77,30,1,0.6,0,1,130
78,30,1,0.2,0,-1,32
79,30,1,0.2,0,0,103
80,30,1,0.2,0,1,151
81,0,0,0.8,0.2,-1,44
82,0,0,0.8,0.2,0,75
83,0,0,0.8,0.2,1,32
84,0,0,0.6,0.4,-1,53
85,0,0,0.6,0.4,0,60
86,0,0,0.6,0.4,1,76
87,0,0,0.6,0.2,-1,42
88,0,0,0.6,0.2,0,37
89,0,0,0.6,0.2,1,57
90,0,0,0.5,0.5,-1,76
91,0,0,0.5,0.5,0,45
92,0,0,0.5,0.5,1,61
93,0,0,0.5,0.4,-1,56
94,0,0,0.5,0.4,0,44
95,0,0,0.5,0.4,1,76
96,0,0,0.5,0.2,-1,24
97,0,0,0.5,0.2,0,32
98,0,0,0.5,0.2,1,31
99,0,0.3,0.8,0.2,-1,27
100,0,0.3,0.8,0.2,0,31
101,0,0.3,0.8,0.2,1,49
102,0,0.3,0.6,0.4,-1,30
103,0,0.3,0.6,0.4,0,21
104,0,0.3,0.6,0.4,1,73
105,0,0.3,0.6,0.2,-1,21
106,0,0.3,0.6,0.2,0,19
107,0,0.3,0.6,0.2,1,35
108,0,0.3,0.5,0.5,-1,45
109,0,0.3,0.5,0.5,0,26
110,0,0.3,0.5,0.5,1,32
111,0,0.3,0.5,0.4,-1,19
112,0,0.3,0.5,0.4,0,41
113,0,0.3,0.5,0.4,1,23
114,0,0.3,0.5,0.2,-1,24
115,0,0.3,0.5,0.2,0,29
