,kappa,lambd,alpha,omega,gamma,runs
26,0,1,0.2,0,1,13
25,0,1,0.2,0,0,14
15,0,0.3,0.2,0,-1,15
6,0,0,0.2,0,-1,17
7,0,0,0.2,0,0,18
18,0,1,1,0,-1,18
22,0,1,0.6,0,0,19
16,0,0.3,0.2,0,0,19
24,0,1,0.2,0,-1,21
60,30,0,0.2,0,-1,22
9,0,0.3,1,0,-1,22
19,0,1,1,0,0,22
14,0,0.3,0.6,0,1,23
17,0,0.3,0.2,0,1,24
21,0,1,0.6,0,-1,25
51,15,1,0.2,0,-1,25
20,0,1,1,0,1,25
23,0,1,0.6,0,1,25
0,0,0,1,0,-1,25
13,0,0.3,0.6,0,0,25
3,0,0,0.6,0,-1,26
12,0,0.3,0.6,0,-1,27
10,0,0.3,1,0,0,27
8,0,0,0.2,0,1,28
4,0,0,0.6,0,0,28
43,15,0.3,0.2,0,0,30
34,15,0,0.2,0,0,30
78,30,1,0.2,0,-1,32
11,0,0.3,1,0,1,35
1,0,0,1,0,0,38
75,30,1,0.6,0,-1,39
52,15,1,0.2,0,0,43
27,15,0,1,0,-1,44
44,15,0.3,0.2,0,1,47
54,30,0,1,0,-1,49
42,15,0.3,0.2,0,-1,50
29,15,0,1,0,1,51
64,30,0.3,1,0,0,52
5,0,0,0.6,0,1,54
2,0,0,1,0,1,55
33,15,0,0.2,0,-1,56
66,30,0.3,0.6,0,-1,57
28,15,0,1,0,0,57
67,30,0.3,0.6,0,0,57
30,15,0,0.6,0,-1,61
72,30,1,1,0,-1,63
55,30,0,1,0,0,66
63,30,0.3,1,0,-1,72
48,15,1,0.6,0,-1,74
57,30,0,0.6,0,-1,74
59,30,0,0.6,0,1,77
70,30,0.3,0.2,0,0,77
49,15,1,0.6,0,0,77
69,30,0.3,0.2,0,-1,77
31,15,0,0.6,0,0,77
35,15,0,0.2,0,1,77
53,15,1,0.2,0,1,77
56,30,0,1,0,1,77
37,15,0.3,1,0,0,77
36,15,0.3,1,0,-1,91
45,15,1,1,0,-1,91
68,30,0.3,0.6,0,1,92
65,30,0.3,1,0,1,103
79,30,1,0.2,0,0,103
38,15,0.3,1,0,1,104
76,30,1,0.6,0,0,105
62,30,0,0.2,0,1,111
58,30,0,0.6,0,0,112
73,30,1,1,0,0,117
77,30,1,0.6,0,1,130
39,15,0.3,0.6,0,-1,143
46,15,1,1,0,0,143
71,30,0.3,0.2,0,1,146
80,30,1,0.2,0,1,151
61,30,0,0.2,0,0,156
32,15,0,0.6,0,1,207
74,30,1,1,0,1,227
41,15,0.3,0.6,0,1,227
40,15,0.3,0.6,0,0,227
50,15,1,0.6,0,1,300
47,15,1,1,0,1,300
